,imagename,Channels,Height,Width,Zero_non_zero_pixel_ratio,minPixelValue,maxPixelValue,class
25765,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2294.tif,13,64,64,0.0,13.0,4000.0,HerbaceousVegetation
27479,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2287.tif,13,64,64,0.0,13.0,2939.0,HerbaceousVegetation
25405,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1964.tif,13,64,64,0.0,10.0,2776.0,HerbaceousVegetation
25558,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2537.tif,13,64,64,0.0,11.0,2515.0,HerbaceousVegetation
27074,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2367.tif,13,64,64,0.0,8.0,3433.0,HerbaceousVegetation
26991,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2575.tif,13,64,64,0.0,10.0,3409.0,HerbaceousVegetation
26324,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2444.tif,13,64,64,0.0,14.0,3258.0,HerbaceousVegetation
25826,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1442.tif,13,64,64,0.0,14.0,3702.0,HerbaceousVegetation
25114,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_501.tif,13,64,64,0.0,13.0,3010.0,HerbaceousVegetation
25909,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2491.tif,13,64,64,0.0,8.0,3460.0,HerbaceousVegetation
25885,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2605.tif,13,64,64,0.0,15.0,3295.0,HerbaceousVegetation
27016,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_902.tif,13,64,64,0.0,13.0,4049.0,HerbaceousVegetation
26058,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2722.tif,13,64,64,0.0,13.0,3695.0,HerbaceousVegetation
26246,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2077.tif,13,64,64,0.0,16.0,3113.0,HerbaceousVegetation
26271,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1721.tif,13,64,64,0.0,14.0,4843.0,HerbaceousVegetation
26529,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1796.tif,13,64,64,0.0,15.0,3796.0,HerbaceousVegetation
27366,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2173.tif,13,64,64,0.0,9.0,3581.0,HerbaceousVegetation
27651,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1775.tif,13,64,64,0.0,5.0,4009.0,HerbaceousVegetation
25992,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2753.tif,13,64,64,0.0,12.0,2989.0,HerbaceousVegetation
26739,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_558.tif,13,64,64,0.0,14.0,3076.0,HerbaceousVegetation
26312,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2167.tif,13,64,64,0.0,8.0,3914.0,HerbaceousVegetation
26078,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2024.tif,13,64,64,0.0,15.0,3444.0,HerbaceousVegetation
26039,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2836.tif,13,64,64,0.0,7.0,2065.0,HerbaceousVegetation
25804,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_659.tif,13,64,64,0.0,11.0,3149.0,HerbaceousVegetation
27431,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2156.tif,13,64,64,0.0,13.0,3231.0,HerbaceousVegetation
24768,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1268.tif,13,64,64,0.0,12.0,3835.0,HerbaceousVegetation
25627,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_837.tif,13,64,64,0.0,10.0,4320.0,HerbaceousVegetation
25404,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2368.tif,13,64,64,0.0,13.0,4598.0,HerbaceousVegetation
26293,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1633.tif,13,64,64,0.0,13.0,3605.0,HerbaceousVegetation
25065,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2289.tif,13,64,64,0.0,11.0,4396.0,HerbaceousVegetation
25468,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_538.tif,13,64,64,0.0,10.0,4232.0,HerbaceousVegetation
26851,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_79.tif,13,64,64,0.0,14.0,4067.0,HerbaceousVegetation
26827,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2579.tif,13,64,64,0.0,13.0,4032.0,HerbaceousVegetation
25226,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2065.tif,13,64,64,0.0,13.0,4491.0,HerbaceousVegetation
26803,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2480.tif,13,64,64,0.0,17.0,3939.0,HerbaceousVegetation
25038,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1514.tif,13,64,64,0.0,22.0,5255.0,HerbaceousVegetation
26106,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1385.tif,13,64,64,0.0,15.0,3015.0,HerbaceousVegetation
25048,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_647.tif,13,64,64,0.0,10.0,4401.0,HerbaceousVegetation
27672,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1061.tif,13,64,64,0.0,13.0,3596.0,HerbaceousVegetation
27099,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2873.tif,13,64,64,0.0,9.0,4150.0,HerbaceousVegetation
25609,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_987.tif,13,64,64,0.0,8.0,2730.0,HerbaceousVegetation
24818,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1771.tif,13,64,64,0.0,13.0,3986.0,HerbaceousVegetation
25227,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2062.tif,13,64,64,0.0,12.0,4955.0,HerbaceousVegetation
26206,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_940.tif,13,64,64,0.0,11.0,3396.0,HerbaceousVegetation
26821,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2484.tif,13,64,64,0.0,20.0,3977.0,HerbaceousVegetation
25960,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2057.tif,13,64,64,0.0,14.0,4719.0,HerbaceousVegetation
25157,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1518.tif,13,64,64,0.0,12.0,3806.0,HerbaceousVegetation
26443,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2927.tif,13,64,64,0.0,25.0,3692.0,HerbaceousVegetation
26247,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_514.tif,13,64,64,0.0,14.0,4229.0,HerbaceousVegetation
26195,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_307.tif,13,64,64,0.0,11.0,3182.0,HerbaceousVegetation
25333,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_379.tif,13,64,64,0.0,9.0,3521.0,HerbaceousVegetation
25138,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_833.tif,13,64,64,0.0,7.0,3544.0,HerbaceousVegetation
25055,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_629.tif,13,64,64,0.0,14.0,4219.0,HerbaceousVegetation
25543,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1365.tif,13,64,64,0.0,11.0,4193.0,HerbaceousVegetation
26101,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2731.tif,13,64,64,0.0,11.0,4879.0,HerbaceousVegetation
25129,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_751.tif,13,64,64,0.0,8.0,2745.0,HerbaceousVegetation
25283,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2333.tif,13,64,64,0.0,10.0,5369.0,HerbaceousVegetation
26811,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1251.tif,13,64,64,0.0,13.0,3695.0,HerbaceousVegetation
26465,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2659.tif,13,64,64,0.0,6.0,3005.0,HerbaceousVegetation
27406,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_622.tif,13,64,64,0.0,13.0,4321.0,HerbaceousVegetation
27350,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1929.tif,13,64,64,0.0,27.0,3823.0,HerbaceousVegetation
25369,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_436.tif,13,64,64,0.0,13.0,4153.0,HerbaceousVegetation
25779,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1169.tif,13,64,64,0.0,12.0,2596.0,HerbaceousVegetation
27220,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2063.tif,13,64,64,0.0,8.0,3484.0,HerbaceousVegetation
26253,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1092.tif,13,64,64,0.0,13.0,4268.0,HerbaceousVegetation
27746,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_876.tif,13,64,64,0.0,15.0,3745.0,HerbaceousVegetation
26071,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2565.tif,13,64,64,0.0,12.0,3717.0,HerbaceousVegetation
25669,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2864.tif,13,64,64,0.0,17.0,2783.0,HerbaceousVegetation
27603,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2672.tif,13,64,64,0.0,11.0,2777.0,HerbaceousVegetation
27150,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2101.tif,13,64,64,0.0,10.0,4622.0,HerbaceousVegetation
25936,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2628.tif,13,64,64,0.0,11.0,3593.0,HerbaceousVegetation
27188,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_259.tif,13,64,64,0.0,13.0,5211.0,HerbaceousVegetation
26774,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_365.tif,13,64,64,0.0,8.0,3537.0,HerbaceousVegetation
26154,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_1558.tif,13,64,64,0.0,10.0,2599.0,HerbaceousVegetation
25854,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_938.tif,13,64,64,0.0,14.0,4011.0,HerbaceousVegetation
26830,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2437.tif,13,64,64,0.0,15.0,4548.0,HerbaceousVegetation
26097,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2653.tif,13,64,64,0.0,9.0,4447.0,HerbaceousVegetation
26172,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2088.tif,13,64,64,0.0,8.0,3676.0,HerbaceousVegetation
27154,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_269.tif,13,64,64,0.0,13.0,4018.0,HerbaceousVegetation
26578,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_628.tif,13,64,64,0.0,12.0,3098.0,HerbaceousVegetation
27531,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2395.tif,13,64,64,0.0,11.0,3083.0,HerbaceousVegetation
24875,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2734.tif,13,64,64,0.0,13.0,4763.0,HerbaceousVegetation
27541,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2017.tif,13,64,64,0.0,11.0,3492.0,HerbaceousVegetation
26347,../input/eurosat-dataset/EuroSATallBands/HerbaceousVegetation/HerbaceousVegetation_2248.tif,13,64,64,0.0,14.0,4115.0,HerbaceousVegetation
3834,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1550.tif,13,64,64,0.0,10.0,4713.0,Highway
5333,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_308.tif,13,64,64,0.0,10.0,5186.0,Highway
5863,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2256.tif,13,64,64,0.0,7.0,5364.0,Highway
5423,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_471.tif,13,64,64,0.0,12.0,4459.0,Highway
4190,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_891.tif,13,64,64,0.0,7.0,3367.0,Highway
5063,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2054.tif,13,64,64,0.0,7.0,5455.0,Highway
4943,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2074.tif,13,64,64,0.0,11.0,3853.0,Highway
5218,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_794.tif,13,64,64,0.0,14.0,4822.0,Highway
4244,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1625.tif,13,64,64,0.0,7.0,5162.0,Highway
4753,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2259.tif,13,64,64,0.0,9.0,5110.0,Highway
6055,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1958.tif,13,64,64,0.0,6.0,2938.0,Highway
3943,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1524.tif,13,64,64,0.0,6.0,4062.0,Highway
5148,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1615.tif,13,64,64,0.0,7.0,5496.0,Highway
6051,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2431.tif,13,64,64,0.0,11.0,3971.0,Highway
3778,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1929.tif,13,64,64,0.0,9.0,5425.0,Highway
4215,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_504.tif,13,64,64,0.0,11.0,2439.0,Highway
3802,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_420.tif,13,64,64,0.0,13.0,4112.0,Highway
5985,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1203.tif,13,64,64,0.0,8.0,4399.0,Highway
5347,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_380.tif,13,64,64,0.0,12.0,4720.0,Highway
5529,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_133.tif,13,64,64,0.0,8.0,4235.0,Highway
5785,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_474.tif,13,64,64,0.0,7.0,5444.0,Highway
5882,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1830.tif,13,64,64,0.0,6.0,3479.0,Highway
4281,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1699.tif,13,64,64,0.0,7.0,4148.0,Highway
3810,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2255.tif,13,64,64,0.0,10.0,4072.0,Highway
6199,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_277.tif,13,64,64,0.0,15.0,5168.0,Highway
4038,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1840.tif,13,64,64,0.0,9.0,4438.0,Highway
4321,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1466.tif,13,64,64,0.0,12.0,4817.0,Highway
5596,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_784.tif,13,64,64,0.0,5.0,4244.0,Highway
4143,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1317.tif,13,64,64,0.0,8.0,3442.0,Highway
4239,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2080.tif,13,64,64,0.0,10.0,4768.0,Highway
4861,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_819.tif,13,64,64,0.0,5.0,4493.0,Highway
5360,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1664.tif,13,64,64,0.0,6.0,4808.0,Highway
4581,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2268.tif,13,64,64,0.0,11.0,4895.0,Highway
4706,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_156.tif,13,64,64,0.0,8.0,4652.0,Highway
4179,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1104.tif,13,64,64,0.0,6.0,4210.0,Highway
4585,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_307.tif,13,64,64,0.0,8.0,4736.0,Highway
6181,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2437.tif,13,64,64,0.0,5.0,4785.0,Highway
4055,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_390.tif,13,64,64,0.0,8.0,3584.0,Highway
4712,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_826.tif,13,64,64,0.0,8.0,4426.0,Highway
5831,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1429.tif,13,64,64,0.0,6.0,4771.0,Highway
4625,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1638.tif,13,64,64,0.0,9.0,5209.0,Highway
3823,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_201.tif,13,64,64,0.0,16.0,5239.0,Highway
5762,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_79.tif,13,64,64,0.0,11.0,5414.0,Highway
4936,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1946.tif,13,64,64,0.0,10.0,4745.0,Highway
4767,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1089.tif,13,64,64,0.0,11.0,5067.0,Highway
4378,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_925.tif,13,64,64,0.0,7.0,4522.0,Highway
5184,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_990.tif,13,64,64,0.0,4.0,4420.0,Highway
4844,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_401.tif,13,64,64,0.0,7.0,5004.0,Highway
4156,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2121.tif,13,64,64,0.0,7.0,4865.0,Highway
4366,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1775.tif,13,64,64,0.0,14.0,4353.0,Highway
4655,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_958.tif,13,64,64,0.0,8.0,3788.0,Highway
3771,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2021.tif,13,64,64,0.0,18.0,3782.0,Highway
5533,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2248.tif,13,64,64,0.0,9.0,4116.0,Highway
4004,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2438.tif,13,64,64,0.0,7.0,4566.0,Highway
4169,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1778.tif,13,64,64,0.0,6.0,5102.0,Highway
4881,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_359.tif,13,64,64,0.0,8.0,4040.0,Highway
5926,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_230.tif,13,64,64,0.0,8.0,4446.0,Highway
5994,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1410.tif,13,64,64,0.0,9.0,5077.0,Highway
5539,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_648.tif,13,64,64,0.0,7.0,4540.0,Highway
4028,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1146.tif,13,64,64,0.0,13.0,4899.0,Highway
4434,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_166.tif,13,64,64,0.0,7.0,4937.0,Highway
5599,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1257.tif,13,64,64,0.0,9.0,5385.0,Highway
5456,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1995.tif,13,64,64,0.0,10.0,5037.0,Highway
5930,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_594.tif,13,64,64,0.0,13.0,4152.0,Highway
4471,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2419.tif,13,64,64,0.0,8.0,4858.0,Highway
3792,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_212.tif,13,64,64,0.0,9.0,4407.0,Highway
4692,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1532.tif,13,64,64,0.0,7.0,4850.0,Highway
3850,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1463.tif,13,64,64,0.0,13.0,3830.0,Highway
4029,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_554.tif,13,64,64,0.0,7.0,4299.0,Highway
4304,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_488.tif,13,64,64,0.0,14.0,5138.0,Highway
4658,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_361.tif,13,64,64,0.0,8.0,3708.0,Highway
5903,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1841.tif,13,64,64,0.0,9.0,4164.0,Highway
4282,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1066.tif,13,64,64,0.0,12.0,4200.0,Highway
5238,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_803.tif,13,64,64,0.0,7.0,4432.0,Highway
5902,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1087.tif,13,64,64,0.0,10.0,4409.0,Highway
5119,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1225.tif,13,64,64,0.0,7.0,5077.0,Highway
4611,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2001.tif,13,64,64,0.0,11.0,2949.0,Highway
6044,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_789.tif,13,64,64,0.0,7.0,4247.0,Highway
5373,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_756.tif,13,64,64,0.0,8.0,5318.0,Highway
5858,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_46.tif,13,64,64,0.0,14.0,3223.0,Highway
5586,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_164.tif,13,64,64,0.0,7.0,3807.0,Highway
5969,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_827.tif,13,64,64,0.0,9.0,3943.0,Highway
5468,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2034.tif,13,64,64,0.0,6.0,4636.0,Highway
4747,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_451.tif,13,64,64,0.0,9.0,4448.0,Highway
6211,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1500.tif,13,64,64,0.0,12.0,5046.0,Highway
4286,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_508.tif,13,64,64,0.0,5.0,4771.0,Highway
4216,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_656.tif,13,64,64,0.0,8.0,4944.0,Highway
4686,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1779.tif,13,64,64,0.0,8.0,4366.0,Highway
4105,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_818.tif,13,64,64,0.0,7.0,4985.0,Highway
3866,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_937.tif,13,64,64,0.0,12.0,4276.0,Highway
4772,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2277.tif,13,64,64,0.0,5.0,3968.0,Highway
5663,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2450.tif,13,64,64,0.0,11.0,4421.0,Highway
6069,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1193.tif,13,64,64,0.0,6.0,4286.0,Highway
5560,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1273.tif,13,64,64,0.0,10.0,4853.0,Highway
5203,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2162.tif,13,64,64,0.0,15.0,4562.0,Highway
4912,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1814.tif,13,64,64,0.0,15.0,3317.0,Highway
5103,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_173.tif,13,64,64,0.0,10.0,5085.0,Highway
5329,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1294.tif,13,64,64,0.0,12.0,4911.0,Highway
5081,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_436.tif,13,64,64,0.0,7.0,4396.0,Highway
4109,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_303.tif,13,64,64,0.0,6.0,3502.0,Highway
5523,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_431.tif,13,64,64,0.0,8.0,4160.0,Highway
4731,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_530.tif,13,64,64,0.0,8.0,5444.0,Highway
5209,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_685.tif,13,64,64,0.0,11.0,4358.0,Highway
4009,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1721.tif,13,64,64,0.0,7.0,4662.0,Highway
6240,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2055.tif,13,64,64,0.0,8.0,4555.0,Highway
5701,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1267.tif,13,64,64,0.0,9.0,4603.0,Highway
5257,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1829.tif,13,64,64,0.0,16.0,5397.0,Highway
5214,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1848.tif,13,64,64,0.0,7.0,4156.0,Highway
5038,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1528.tif,13,64,64,0.0,6.0,4303.0,Highway
4886,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_902.tif,13,64,64,0.0,7.0,4666.0,Highway
5852,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1.tif,13,64,64,0.0,12.0,5414.0,Highway
5493,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_2460.tif,13,64,64,0.0,11.0,3825.0,Highway
5462,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_1930.tif,13,64,64,0.0,10.0,4163.0,Highway
5607,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_111.tif,13,64,64,0.0,16.0,4422.0,Highway
4025,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_13.tif,13,64,64,0.0,13.0,5180.0,Highway
5605,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_5.tif,13,64,64,0.0,6.0,4845.0,Highway
3942,../input/eurosat-dataset/EuroSATallBands/Highway/Highway_568.tif,13,64,64,0.0,7.0,4906.0,Highway
